Date,Open,High,Low,Close,Volume,Symbol
2022-10-10,16750.0,17700.0,16550.0,17400.0,17618200.0,SSI
2022-10-11,17050.0,17400.0,16200.0,16200.0,16403900.0,SSI
2022-10-12,16400.0,17300.0,16250.0,17250.0,18582200.0,SSI
2022-10-13,17250.0,17700.0,17000.0,17500.0,12486200.0,SSI
2022-10-14,18000.0,18400.0,17800.0,17900.0,22036600.0,SSI
2022-10-17,17600.0,18000.0,17250.0,18000.0,13716400.0,SSI
2022-10-18,18400.0,18500.0,17700.0,17800.0,18797300.0,SSI
2022-10-19,17900.0,18000.0,17500.0,17650.0,12345400.0,SSI
2022-10-20,17500.0,17850.0,17250.0,17400.0,11211900.0,SSI
2022-10-21,17400.0,17450.0,16200.0,16200.0,28076400.0,SSI
2022-10-24,16300.0,16400.0,15100.0,15100.0,23354200.0,SSI
2022-10-25,15100.0,16050.0,14300.0,15050.0,22999400.0,SSI
2022-10-26,15300.0,15600.0,14700.0,14850.0,9014400.0,SSI
2022-10-27,15100.0,15850.0,15000.0,15850.0,21710300.0,SSI
2022-10-28,16200.0,16400.0,15850.0,15900.0,16262500.0,SSI
2022-10-31,15900.0,16400.0,15200.0,16300.0,20501900.0,SSI
2022-11-01,16600.0,17050.0,16300.0,16950.0,22328100.0,SSI
2022-11-02,16950.0,17050.0,16500.0,16500.0,15911800.0,SSI
2022-11-03,16200.0,16800.0,16149.999999999998,16500.0,11302200.0,SSI
2022-11-04,16250.0,16300.0,15350.0,15350.0,25310800.0,SSI
2022-11-07,15250.0,15500.0,14300.0,14300.0,21167600.0,SSI
2022-11-08,13800.0,15150.0,13800.0,15000.0,16380300.0,SSI
2022-11-09,15150.0,15600.0,14900.0,14900.0,8615900.0,SSI
2022-11-10,14700.0,14800.0,13900.0,13900.0,18406100.0,SSI
2022-11-11,14300.0,14600.0,13800.0,14100.0,19859900.0,SSI
2022-11-14,13800.0,14500.0,13200.0,14250.0,20560100.0,SSI
2022-11-15,14000.0,14250.0,13300.0,13900.0,24236100.0,SSI
2022-11-16,13100.0,14850.0,13050.0,14850.0,26998600.0,SSI
2022-11-17,15150.0,15850.0,15100.0,15800.0,23384900.0,SSI
2022-11-18,15750.0,16600.0,15350.0,16250.0,34596600.0,SSI
2022-11-21,16450.0,16500.0,15950.0,16100.000000000002,12527900.0,SSI
2022-11-22,15900.0,17000.0,15900.0,16350.000000000002,29655000.0,SSI
2022-11-23,16200.0,16450.0,15800.0,15800.0,13126800.0,SSI
2022-11-24,15450.0,16000.0,15250.0,16000.0,16226000.0,SSI
2022-11-25,16400.0,17100.0,16149.999999999998,17100.0,22569200.0,SSI
2022-11-28,17500.0,18250.0,17500.0,18250.0,32638900.0,SSI
2022-11-29,18500.0,19150.0,18000.0,18950.0,32279800.0,SSI
2022-11-30,18700.0,19400.0,18450.0,19250.0,29645300.0,SSI
2022-12-01,19500.0,19650.0,18200.0,18200.0,37109400.0,SSI
2022-12-02,18100.0,19450.0,18100.0,19450.0,29326500.0,SSI
2022-12-05,20300.0,20800.0,19800.0,20800.0,35813500.0,SSI
2022-12-06,20400.0,20950.0,19550.0,19550.0,41336800.0,SSI
2022-12-07,19550.0,19950.0,18900.0,19250.0,21179900.0,SSI
2022-12-08,19750.0,20550.0,19550.0,20550.0,34618000.0,SSI
2022-12-09,20700.0,20800.0,19900.0,20250.0,18581200.0,SSI
2022-12-12,20400.0,20750.0,19100.0,19150.0,26511100.0,SSI
2022-12-13,19150.0,20400.0,18850.0,20400.0,25352700.0,SSI
2022-12-14,21000.0,21000.0,20100.0,20100.0,20741200.0,SSI
2022-12-15,20100.0,20350.0,19950.0,20250.0,15553300.0,SSI
2022-12-16,20000.0,20600.0,20000.0,20500.0,21449000.0,SSI
2022-12-19,20500.0,21850.0,20350.0,20500.0,41725400.0,SSI
2022-12-20,20500.0,20750.0,19350.0,19800.0,26808800.0,SSI
2022-12-21,20200.0,20200.0,18450.0,19300.0,26446400.0,SSI
2022-12-22,19500.0,19550.0,18600.0,19100.0,13108700.0,SSI
2022-12-23,19000.0,19100.0,18250.0,18300.0,11363200.0,SSI
2022-12-26,18200.0,18300.0,17050.0,17050.0,18630300.0,SSI
2022-12-27,17000.0,18200.0,17000.0,18200.0,14748000.0,SSI
2022-12-28,18450.0,18450.0,17800.0,18150.0,10979500.0,SSI
2022-12-29,18000.0,18250.0,17600.0,17600.0,8747600.0,SSI
2022-12-30,17750.0,18100.0,17600.0,17700.0,6422100.0,SSI
2022-10-03,20300.0,20400.0,19200.0,19200.0,14937100.0,STB
2022-10-04,19750.0,19750.0,18600.0,18750.0,15971100.0,STB
2022-10-05,19350.0,19500.0,19000.0,19250.0,10610300.0,STB
2022-10-06,19350.0,19350.0,17950.0,18000.0,18656100.0,STB
2022-10-07,17600.0,17600.0,16750.0,16750.0,40976500.0,STB
2022-10-10,16200.0,17250.0,15750.0,17000.0,34119100.0,STB
2022-10-11,16950.0,17000.0,15850.0,15850.0,24976900.0,STB
2022-10-12,15950.0,16950.0,15900.0,16950.0,15160800.0,STB
2022-10-13,17050.0,17700.0,16950.0,17650.0,16491000.0,STB
2022-10-14,18100.0,18100.0,17450.0,17650.0,25065100.0,STB
2022-10-17,17450.0,18150.0,17300.0,18150.0,12846000.0,STB
2022-10-18,18500.0,18650.0,17500.0,17700.0,14148300.0,STB
2022-10-19,17750.0,17850.0,16900.0,17300.0,17992600.0,STB
2022-10-20,17250.0,17750.0,16900.0,17150.0,13245100.0,STB
2022-10-21,17100.0,17250.0,15950.0,15950.0,22530300.0,STB
2022-10-24,16050.0,16350.000000000002,14850.0,14850.0,27147400.0,STB
2022-10-25,14900.0,15850.0,14050.0,14900.0,22832700.0,STB
2022-10-26,15150.0,15400.0,14800.0,15000.0,7624800.0,STB
2022-10-27,15000.0,16050.0,15000.0,16050.0,21985200.0,STB
2022-10-28,16450.0,16850.0,16100.000000000002,16149.999999999998,18824600.0,STB
2022-10-31,16200.0,16500.0,15600.0,16149.999999999998,16782900.0,STB
2022-11-01,16500.0,17250.0,16350.000000000002,16900.0,29458400.0,STB
2022-11-02,16900.0,17300.0,16750.0,16900.0,19123400.0,STB
2022-11-03,16800.0,17450.0,16800.0,17250.0,19534000.0,STB
2022-11-04,17050.0,17250.0,16050.0,16600.0,32100600.0,STB
2022-11-07,16350.000000000002,16700.0,15500.0,15500.0,20698900.0,STB
2022-11-08,15500.0,16550.0,15300.0,16450.0,22034700.0,STB
2022-11-09,16800.0,17050.0,15800.0,16250.0,35899100.0,STB
2022-11-10,16000.0,16250.0,15150.0,15150.0,37391500.0,STB
2022-11-11,15600.0,16200.0,15450.0,15600.0,39517200.0,STB
2022-11-14,15450.0,16100.000000000002,14850.0,15850.0,36929800.0,STB
2022-11-15,15750.0,16000.0,14850.0,15100.0,27646400.0,STB
2022-11-16,14800.0,16149.999999999998,14450.0,16149.999999999998,29344400.0,STB
2022-11-17,16900.0,17250.0,16600.0,17200.0,35148700.0,STB
2022-11-18,16950.0,17650.0,16450.0,17100.0,32563700.0,STB
2022-11-21,17300.0,17400.0,16700.0,16700.0,17502900.0,STB
2022-11-22,16600.0,17850.0,16600.0,16900.0,30775500.0,STB
2022-11-23,16900.0,17900.0,16900.0,17500.0,25665600.0,STB
2022-11-24,17300.0,18200.0,16900.0,18200.0,18314400.0,STB
2022-11-25,18500.0,18950.0,18000.0,18900.0,24962000.0,STB
2022-11-28,19100.0,19750.0,19050.0,19700.0,28234200.0,STB
2022-11-29,19500.0,19950.0,18900.0,19750.0,26282100.0,STB
2022-11-30,19550.0,20200.0,19150.0,20000.0,25462700.0,STB
2022-12-01,20200.0,21100.0,19500.0,19500.0,39125200.0,STB
2022-12-02,19800.0,20850.0,19500.0,20850.0,27685300.0,STB
2022-12-05,22300.0,22300.0,21850.0,22300.0,38505100.0,STB
2022-12-06,22250.0,22650.0,20750.0,20750.0,49350900.0,STB
2022-12-07,20550.0,20900.0,19700.0,20300.0,27772200.0,STB
2022-12-08,20750.0,21700.0,20750.0,21700.0,20042500.0,STB
2022-12-09,22500.0,22600.0,21900.0,22400.0,26467900.0,STB
2022-12-12,22500.0,22600.0,21300.0,21300.0,20770500.0,STB
2022-12-13,21350.0,22600.0,21050.0,22550.0,25986500.0,STB
2022-12-14,23000.0,23500.0,22700.0,23250.0,21018800.0,STB
2022-12-15,23100.0,23650.0,22650.0,23250.0,20332000.0,STB
2022-12-16,22850.0,23200.0,22550.0,22800.0,25278700.0,STB
2022-12-19,23000.0,23400.0,22400.0,22400.0,23175600.0,STB
2022-12-20,22000.0,22450.0,21250.0,22450.0,28918700.0,STB
2022-12-21,22750.0,23800.0,22300.0,23550.0,35449400.0,STB
2022-12-22,23750.0,24150.0,23100.0,23400.0,17470200.0,STB
2022-12-23,23450.0,23700.0,22900.0,23500.0,13227800.0,STB
2022-12-26,23450.0,23550.0,21900.0,21900.0,20485300.0,STB
2022-12-27,22000.0,23000.0,21850.0,22500.0,20842100.0,STB
2022-12-28,22600.0,23000.0,22050.0,22900.0,15196800.0,STB
2022-12-29,22700.0,22950.0,22350.0,22350.0,9448000.0,STB
2022-12-30,22600.0,22700.0,22200.0,22500.0,10618600.0,STB
2022-10-03,32500.0,32600.0,30250.0,30250.0,6076000.0,TCB
2022-10-04,30800.0,31000.0,30000.0,30300.0,5966900.0,TCB
2022-10-05,31000.0,31050.0,30500.0,30500.0,3986800.0,TCB
2022-10-06,30500.0,30800.0,29300.0,29300.0,5573700.0,TCB
2022-10-07,28900.0,28900.0,27250.0,27250.0,14349900.0,TCB
2022-10-10,25800.0,26950.0,25350.0,25800.0,18275400.0,TCB
2022-10-11,25800.0,25800.0,24000.0,24000.0,21188700.0,TCB
2022-10-12,24000.0,25400.0,23550.0,24800.0,9605400.0,TCB
2022-10-13,24800.0,25300.0,24100.0,25300.0,9386700.0,TCB
2022-10-14,26500.0,26500.0,25500.0,25700.0,6333400.0,TCB
2022-10-17,25500.0,25500.0,24350.0,25100.0,7760900.0,TCB
2022-10-18,25600.0,25900.0,25150.0,25300.0,5030200.0,TCB
2022-10-19,25300.0,25500.0,24600.0,25200.0,4571000.0,TCB
2022-10-20,25100.0,25100.0,24550.0,24600.0,5210100.0,TCB
2022-10-21,24850.0,24850.0,22900.0,22900.0,9633400.0,TCB
2022-10-24,23050.0,23350.0,21300.0,21300.0,11800600.0,TCB
2022-10-25,21300.0,22450.0,20000.0,21300.0,9593300.0,TCB
2022-10-26,21700.0,21800.0,21050.0,21400.0,3153400.0,TCB
2022-10-27,21500.0,22850.0,21500.0,22850.0,5222800.0,TCB
2022-10-28,23600.0,24400.0,23500.0,24400.0,12484200.0,TCB
2022-10-31,24600.0,24800.0,23500.0,24600.0,7284700.0,TCB
2022-11-01,25000.0,26000.0,25000.0,25650.0,8603400.0,TCB
2022-11-02,25700.0,25800.0,25050.0,25200.0,5442300.0,TCB
2022-11-03,24650.0,25850.0,24650.0,25850.0,6663000.0,TCB
2022-11-04,25000.0,25500.0,24050.0,25500.0,12626400.0,TCB
2022-11-07,25450.0,25800.0,23750.0,23750.0,6326200.0,TCB
2022-11-08,23750.0,24900.0,23000.0,24150.0,5353800.0,TCB
2022-11-09,24500.0,25100.0,24200.0,24350.0,3645200.0,TCB
2022-11-10,24000.0,24100.0,22650.0,22750.0,7580100.0,TCB
2022-11-11,23500.0,23950.0,22800.0,22800.0,5479500.0,TCB
2022-11-14,22200.0,22400.0,21300.0,22200.0,5828500.0,TCB
2022-11-15,22050.0,22050.0,20650.0,20700.0,10943000.0,TCB
2022-11-16,19300.0,22100.0,19300.0,22100.0,18062800.0,TCB
2022-11-17,22700.0,23050.0,22200.0,22950.0,5977300.0,TCB
2022-11-18,22850.0,23350.0,21800.0,22700.0,6390000.0,TCB
2022-11-21,22650.0,23100.0,22250.0,22250.0,4508400.0,TCB
2022-11-22,22050.0,23050.0,21850.0,21850.0,7548800.0,TCB
2022-11-23,22000.0,22400.0,21700.0,22000.0,3771800.0,TCB
2022-11-24,22000.0,22200.0,21500.0,22150.0,3471500.0,TCB
2022-11-25,22350.0,23000.0,22200.0,23000.0,5208100.0,TCB
2022-11-28,23300.0,24600.0,23250.0,24600.0,9058600.0,TCB
2022-11-29,24950.0,25600.0,24350.0,25200.0,7876400.0,TCB
2022-11-30,25200.0,25900.0,24950.0,25900.0,8860700.0,TCB
2022-12-01,26250.0,27700.0,26250.0,27400.0,16532500.0,TCB
2022-12-02,27000.0,29000.0,26850.0,28800.0,9001200.0,TCB
2022-12-05,29500.0,29800.0,28800.0,29000.0,8445100.0,TCB
2022-12-06,28800.0,29000.0,27000.0,27050.0,14489700.0,TCB
2022-12-07,27000.0,27150.0,25950.0,26400.0,7114400.0,TCB
2022-12-08,26800.0,28200.0,26500.0,28200.0,10144300.0,TCB
2022-12-09,28450.0,28500.0,27700.0,28250.0,4407800.0,TCB
2022-12-12,28250.0,28550.0,27200.0,27200.0,6189600.0,TCB
2022-12-13,27200.0,28800.0,27000.0,28800.0,7316900.0,TCB
2022-12-14,29500.0,29700.0,28800.0,28800.0,7999600.0,TCB
2022-12-15,28800.0,29550.0,28600.0,29500.0,7681000.0,TCB
2022-12-16,29000.0,29300.0,28600.0,29150.0,6469000.0,TCB
2022-12-19,29150.0,30650.0,29050.0,29250.0,9319200.0,TCB
2022-12-20,29000.0,29250.0,27250.0,27700.0,11750600.0,TCB
2022-12-21,28050.0,28200.0,26300.0,27700.0,6560300.0,TCB
2022-12-22,27750.0,28400.0,27250.0,27700.0,3604900.0,TCB
2022-12-23,27700.0,27900.0,26950.0,27600.0,2878800.0,TCB
2022-12-26,27250.0,27400.0,25700.0,25700.0,7542600.0,TCB
